"REL_CTGRY_TXT","PRNT_TBL_NM","PRNT_COL_NM","CHLD_TBL_NM","CHLD_COL_NM","ACTIVE_FLG"
"GDPR12","PRSN","PRSN_BUS_ID","BANK_ACCT","PRSN_BUS_ID",1
"GDPR12","PRSN","PRSN_BUS_ID","CNSLT","PRSN_BUS_ID",1
"GDPR12","PRSN","PRSN_BUS_ID","CMMNCTN","PRSN_BUS_ID",1
"GDPR12","PRSN","PRSN_BUS_ID","NAT_PRSN","PRSN_BUS_ID",1
"GDPR12","PRSN","PRSN_BUS_ID","CMMNCTN_USE","PRSN_BUS_ID",1
"GDPR12","PRSN","PRSN_BUS_ID","DOC","PRSN_BUS_ID",1
"GDPR12","PRSN","PRSN_BUS_ID","NPS","PRSN_BUS_ID",1
"GDPR12","PRSN","PRSN_BUS_ID","PRSN_GNRC_DTL","PRSN_BUS_ID",1
"GDPR12","PRSN","PRSN_BUS_ID","TP_CNTRCT","PRSN_BUS_ID",1
"GDPR12","PRSN","PRSN_BUS_ID","COMPLAINT","PRSN_BUS_ID",1
"GDPR12","PRSN","PRSN_BUS_ID","PRSN_ADDR","PRSN_BUS_ID",1
"GDPR12","PRSN","PRSN_BUS_ID","FRGN_TAX_ID","PRSN_BUS_ID",1
"GDPR12","NAT_PRSN","NAT_PRSN_BUS_ID","PRSN_ASSMNT","NAT_PRSN_BUS_ID",1
"FRAUD_CLM","CLM","CVR_BUS_ID","CVR","CVR_BUS_ID",1
"FRAUD_CLM","CLM","LOSS_EVENT_BUS_ID","LOSS_EVENT","LOSS_EVENT_BUS_ID",1
"FRAUD_CLM","CLM","CNTRCT_BUS_ID","CNTRCT","CNTRCT_BUS_ID",1
"FRAUD_CLM","PRSN","PRSN_BUS_ID","DOC","PRSN_BUS_ID",1
